Game,Season,Date,Round,HomeTeam,AwayTeam,Winner,SeasonPointsBy,SeasonPointsAgainst,SeasonPerformance,Ranking,PointsBy_Last_1,PointsAgainst_Last_1,Performance_Last_1,PointsBy_Last_2,PointsAgainst_Last_2,Performance_Last_2,PointsBy_Last_3,PointsAgainst_Last_3,Performance_Last_3,PointsBy_Last_4,PointsAgainst_Last_4,Performance_Last_4,PointsBy_Last_5,PointsAgainst_Last_5,Performance_Last_5
11793,2000,2000-05-06,R9,Hawthorn,Geelong,Home,-115.0,89.0,-4.0,-2.0,51.0,-80.0,2.0,33.0,-43.5,1.0,4.666666666666671,-9.333333333333329,0.0,-8.75,-8.75,0.0,-8.799999999999997,-0.4000000000000057,0.0
11794,2000,2000-05-06,R9,Adelaide,West Coast,Away,-157.0,25.0,-2.0,-1.0,0.0,-34.0,0.0,10.5,-40.5,1.0,-4.666666666666671,-28.33333333333333,0.6666666666666667,-0.75,-31.25,0.5,-23.400000000000006,-2.200000000000003,0.0
11796,2000,2000-05-07,R9,Brisbane Lions,Carlton,Home,-99.0,101.0,-4.0,-2.0,-46.0,63.0,-2.0,-33.0,52.5,-2.0,-43.33333333333333,31.0,-1.3333333333333335,-26.75,15.5,-0.5,-12.0,22.599999999999994,-0.3999999999999999
11798,2000,2000-05-07,R9,Sydney,Port Adelaide,Home,111.0,-172.0,4.0,1.0,-22.0,-2.0,0.0,-7.0,4.0,0.0,4.666666666666671,-16.33333333333333,0.0,15.0,-8.5,0.0,2.4000000000000057,-6.800000000000011,-0.4
11797,2000,2000-05-07,R9,Melbourne,Essendon,Away,-126.0,92.0,-6.0,-2.0,-16.0,23.0,0.0,-9.0,0.0,0.0,-26.0,9.333333333333343,-0.6666666666666667,-23.75,1.0,-0.5,-13.399999999999991,-2.1999999999999886,-0.3999999999999999
11799,2000,2000-05-07,R9,Fremantle,Collingwood,Away,-132.0,59.0,-2.0,-1.0,22.0,-22.0,2.0,16.5,-31.0,2.0,4.0,0.6666666666666714,1.3333333333333333,-7.75,-0.5,0.5,-9.799999999999997,-3.200000000000003,0.3999999999999999
11800,2000,2000-05-12,R10,West Coast,Hawthorn,Home,124.0,-59.0,-2.0,-1.0,-28.0,6.0,-2.0,-24.0,20.5,-1.0,-31.33333333333333,29.0,-1.3333333333333335,6.75,1.25,-0.5,-1.0,18.60000000000001,-0.8
11801,2000,2000-05-13,R10,Richmond,Carlton,Home,-177.0,39.0,-2.0,-1.0,-68.0,-12.0,0.0,-15.0,0.5,0.0,-27.0,17.33333333333333,-0.6666666666666667,-34.5,20.0,-0.5,-25.400000000000006,8.200000000000003,0.0
11802,2000,2000-05-13,R10,St Kilda,Collingwood,Away,-182.0,128.0,-10.0,-4.0,-13.0,-41.0,0.0,-15.0,-20.0,0.0,-4.333333333333343,-17.0,0.0,-7.25,-15.0,0.0,-12.600000000000009,-12.0,-0.4
11803,2000,2000-05-13,R10,Port Adelaide,Geelong,Draw,-201.0,211.0,-10.0,-4.0,12.0,13.0,0.0,10.5,-11.5,0.0,1.3333333333333286,-8.0,-0.6666666666666666,-6.75,15.25,-1.0,-23.0,18.60000000000001,-1.2
11804,2000,2000-05-14,R10,Essendon,Fremantle,Home,343.0,-280.0,10.0,3.0,24.0,-54.0,2.0,22.0,-38.0,1.0,24.33333333333333,-25.333333333333343,0.6666666666666667,39.0,-43.25,1.0,40.8,-36.0,1.2
11806,2000,2000-05-14,R10,North Melbourne,Sydney,Home,128.0,172.0,4.0,2.0,17.0,40.0,0.0,10.0,29.5,0.0,16.66666666666667,22.666666666666657,0.6666666666666666,14.5,9.5,1.0,13.200000000000003,6.0,1.2000000000000002
11805,2000,2000-05-14,R10,Footscray,Adelaide,Home,31.0,-1.0,2.0,1.0,-20.0,-24.0,2.0,-13.0,8.0,0.0,-10.666666666666657,16.0,-0.6666666666666666,-23.5,33.75,-1.0,-15.200000000000003,26.200000000000003,-0.7999999999999999
11807,2000,2000-05-15,R10,Melbourne,Brisbane Lions,Home,52.0,-166.0,2.0,1.0,-53.0,-11.0,-2.0,-2.5,-26.0,0.0,11.0,-28.666666666666657,0.6666666666666666,3.0,-10.75,0.0,-0.7999999999999972,-12.0,0.0
11808,2000,2000-05-19,R11,St Kilda,Port Adelaide,Home,27.0,12.0,-2.0,-1.0,4.0,31.0,0.0,11.5,12.5,0.0,1.6666666666666714,7.333333333333329,0.0,7.75,13.25,0.0,3.8000000000000114,-2.200000000000003,0.0
11810,2000,2000-05-20,R11,Hawthorn,North Melbourne,Away,-214.0,-63.0,-4.0,-2.0,-60.0,58.0,-2.0,-45.0,3.0,-1.0,-9.666666666666657,-18.33333333333333,0.0,-8.75,-20.0,0.0,-18.400000000000006,-3.8000000000000114,-0.40000000000000013
11811,2000,2000-05-20,R11,Geelong,Richmond,Away,64.0,6.0,0.0,0.0,-24.0,24.0,-2.0,-15.0,26.0,-2.0,-33.33333333333333,40.66666666666667,-2.0,-15.25,25.25,-1.0,-12.799999999999997,15.799999999999997,-0.8
11812,2000,2000-05-20,R11,Fremantle,Essendon,Away,-415.0,344.0,-12.0,-4.0,-72.0,64.0,-2.0,-48.0,59.0,-2.0,-38.66666666666667,46.66666666666667,-1.3333333333333335,-36.25,35.0,-1.0,-45.60000000000001,47.39999999999999,-1.2
11809,2000,2000-05-20,R11,Carlton,Footscray,Home,98.0,-96.0,4.0,2.0,-28.0,3.0,0.0,7.0,-9.5,0.0,7.0,-21.0,0.6666666666666667,12.25,-29.25,1.0,27.400000000000006,-36.599999999999994,1.2
11813,2000,2000-05-21,R11,Adelaide,Melbourne,Home,-127.0,178.0,-6.0,-3.0,-18.0,48.0,-2.0,7.0,35.0,-1.0,3.6666666666666714,17.33333333333333,-0.6666666666666666,-7.25,16.5,-0.5,6.0,2.799999999999997,0.0
11814,2000,2000-05-21,R11,Collingwood,West Coast,Away,-94.0,73.0,0.0,0.0,-64.0,14.0,-2.0,-8.5,40.5,-1.0,-13.333333333333343,28.666666666666657,-1.3333333333333333,-4.25,22.0,-1.0,-22.60000000000001,28.200000000000003,-1.2
11815,2000,2000-05-21,R11,Sydney,Brisbane Lions,Away,-58.0,-67.0,0.0,0.0,-5.0,35.0,0.0,-20.0,1.5,0.0,-13.0,-5.0,0.0,-10.0,-4.5,0.0,-7.799999999999997,5.6000000000000085,-0.4
11816,2000,2000-05-26,R12,Essendon,St Kilda,Home,436.0,-341.0,20.0,6.0,28.0,32.0,0.0,39.0,3.5,1.0,26.66666666666667,-1.6666666666666714,1.3333333333333335,34.75,-12.5,1.5,32.400000000000006,-15.799999999999997,1.6
11820,2000,2000-05-27,R12,Brisbane Lions,Geelong,Away,18.0,101.0,-2.0,-1.0,23.0,-38.0,2.0,14.5,-7.0,1.0,34.0,1.6666666666666714,1.3333333333333333,22.0,-3.75,1.0,16.0,-0.6000000000000085,0.4
11819,2000,2000-05-27,R12,Hawthorn,Sydney,Home,-47.0,2.0,2.0,1.0,-30.0,-30.0,0.0,-10.5,-24.5,0.0,-11.333333333333329,-20.333333333333343,0.0,7.5,-25.75,0.5,10.799999999999997,-23.799999999999997,0.7999999999999999
11818,2000,2000-05-27,R12,Adelaide,Fremantle,Home,143.0,-165.0,0.0,0.0,24.0,-104.0,2.0,24.0,-60.0,1.0,30.333333333333343,-46.33333333333334,0.6666666666666666,23.0,-39.0,0.5,15.799999999999997,-33.000000000000014,0.3999999999999999
11817,2000,2000-05-27,R12,Collingwood,Richmond,Away,56.0,145.0,-4.0,-2.0,12.0,51.0,-2.0,-18.0,49.5,-2.0,0.6666666666666714,58.33333333333333,-2.0,-15.0,51.25,-2.0,-5.800000000000011,45.0,-1.6
11822,2000,2000-05-28,R12,Footscray,Port Adelaide,Home,342.0,-168.0,10.0,3.0,119.0,-36.0,2.0,89.0,-17.5,2.0,65.99999999999999,-14.0,2.0,53.5,-11.25,1.5,43.0,-4.0,1.2
11821,2000,2000-05-28,R12,North Melbourne,Melbourne,Home,98.0,236.0,2.0,1.0,29.0,24.0,0.0,37.5,0.0,0.0,36.66666666666667,6.333333333333343,0.6666666666666666,16.5,15.25,0.0,11.400000000000006,20.200000000000003,0.0
11823,2000,2000-05-28,R12,West Coast,Carlton,Away,-47.0,25.0,-4.0,-2.0,-1.0,-7.0,0.0,4.0,-0.5,0.0,-23.000000000000014,-1.3333333333333428,-0.6666666666666667,-17.5,8.5,-0.5,-22.599999999999994,20.599999999999994,-0.8
11824,2000,2000-06-02,R13,Richmond,Adelaide,Away,-14.0,-81.0,6.0,3.0,13.0,51.0,0.0,-6.0,29.0,0.0,2.0,-6.666666666666657,0.6666666666666667,-10.0,-19.5,1.0,-0.20000000000000284,-13.799999999999997,0.8
11827,2000,2000-06-03,R13,Brisbane Lions,Collingwood,Home,65.0,70.0,0.0,0.0,32.0,40.0,0.0,25.0,9.5,1.0,26.66666666666667,6.333333333333343,0.6666666666666666,27.25,-2.5,1.0,17.400000000000006,2.0,0.8
11825,2000,2000-06-03,R13,Melbourne,West Coast,Away,-62.0,-67.0,0.0,0.0,5.0,-20.0,0.0,-26.5,-3.5,-1.0,-23.0,-3.6666666666666714,-0.6666666666666666,-11.5,4.0,-0.5,-8.600000000000009,0.0,-0.3999999999999999
11826,2000,2000-06-03,R13,Port Adelaide,Carlton,Home,-464.0,244.0,-16.0,-6.0,-69.0,-2.0,-2.0,-71.5,8.0,-2.0,-58.0,4.0,-2.0,-59.0,10.25,-2.0,-51.80000000000001,17.599999999999994,-2.0
11831,2000,2000-06-04,R13,Fremantle,St Kilda,Home,-64.0,42.0,6.0,1.0,-21.0,-48.0,0.0,-28.5,35.5,-1.0,-26.33333333333333,36.66666666666666,-0.6666666666666666,-25.25,38.0,-0.5,-12.399999999999991,25.799999999999997,0.0
11830,2000,2000-06-04,R13,Geelong,Footscray,Home,-146.0,-31.0,0.0,0.0,-37.0,-16.0,0.0,-62.0,24.0,-1.0,-60.999999999999986,15.666666666666671,-1.3333333333333335,-53.75,10.25,-1.5,-48.0,16.0,-1.2000000000000002
11829,2000,2000-06-04,R13,Essendon,North Melbourne,Home,239.0,-335.0,8.0,2.0,93.0,24.0,0.0,69.5,-9.0,1.0,40.999999999999986,2.0,0.6666666666666667,25.25,-6.5,0.5,32.20000000000002,-18.200000000000003,0.8
11828,2000,2000-06-04,R13,Sydney,Hawthorn,Home,-26.0,34.0,-4.0,-2.0,-73.0,36.0,-2.0,-21.5,33.0,-1.0,-17.33333333333333,28.33333333333333,-0.6666666666666666,-9.75,24.25,-0.5,-20.60000000000001,27.799999999999997,-0.7999999999999999
